unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount
AK_2013_VCP_1,3/1/2013,180000.0,0.0,Metro,Non-LMI,0.0,5.0,541511,3.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2013_VCP_3,12/30/2013,265000.0,0.0,Metro,Non-LMI,0.0,7.0,541511,2.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2014_VCP_1,4/11/2014,199500.0,0.0,Metro,Non-LMI,0.0,2.0,336612,8.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2014_VCP_2,5/15/2014,125000.0,0.0,Metro,LMI,1494916.0,8.0,451110,8.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2014_VCP_3,9/15/2014,120000.0,0.0,Metro,Non-LMI,41000.0,0.0,336612,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2015_VCP_1,1/15/2015,500000.0,0.0,Metro,Non-LMI,0.0,4.0,111998,8.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2015_VCP_2,12/14/2015,30000.0,0.0,Metro,Non-LMI,0.0,3.0,511210,3.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_1,3/1/2016,74000.0,0.0,Metro,Non-LMI,0.0,0.0,511210,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_2,4/11/2016,125000.0,0.0,Metro,Non-LMI,0.0,4.0,111998,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_3,5/23/2016,140000.0,0.0,Metro,Non-LMI,45000.0,5.0,334513,5.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_4,6/6/2016,21875.0,0.0,Metro,LMI,0.0,2.0,541990,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_5,6/6/2016,21875.0,0.0,Metro,Non-LMI,279000.0,1.0,311423,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_6,6/6/2016,21875.0,0.0,Metro,LMI,0.0,2.0,541512,2.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_7,6/6/2016,21875.0,0.0,Metro,Non-LMI,0.0,3.0,334290,3.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_8,6/6/2016,21875.0,0.0,Metro,Non-LMI,0.0,2.0,511210,2.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_9,11/30/2016,135000.0,0.0,Metro,Non-LMI,279000.0,2.0,311423,3.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_10,12/29/2016,199500.0,0.0,Metro,Non-LMI,45000.0,5.0,334513,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AK_2016_VCP_11,12/30/2016,150000.0,0.0,Metro,LMI,50000.0,2.0,541990,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0
AL_2012_LGP_1,2/10/2012,500000.0,0.0,Metro,Non-LMI,1985342.0,1.0,722511,40.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0
AL_2012_LGP_2,2/10/2012,50000.0,0.0,Metro,LMI,0.0,1.0,327215,2.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0
AL_2012_LGP_3,2/21/2012,250000.0,0.0,Metro,Non-LMI,2000000.0,2.0,423320,100.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,125000.0
